1,Stage,SurveySays3
2,Coins,CoinsMedium
3,Chance,CoinFrenzy
4,Showdown,Bullseye
5,Spins,SpinsLow
6,Chance,FamilyFortunes
7,Stage,SuddenDeath
8,Coins,CoinsLower
9,Showdown,SurveySteal
10,Chance,DoubleSurvey
11,Coins,CoinsMedium
12,Stage,KeepOrPass3
13,Coins,CoinsMedium
14,Stage,SurveySays5
15,Chance,MatchAndWin
16,Showdown,Bullseye
17,Coins,CoinsHigh
18,Stage,KeepOrPass3
19,Coins,CoinsLower
20,Chance,SurveyHeadStart
21,Spins,SpinsHigh
22,Showdown,SurveySteal
23,Coins,CoinsMedium
24,Stage,SurveySays3
25,Showdown,Bullseye
26,Stage,SuddenDeath
27,Showdown,SurveySteal
28,Stage,SurveySays3
29,Coins,CoinsLower
30,Spins,SpinsHigh
31,Chance,DoubleSurvey
32,Coins,CoinsHigh
33,Stage,KeepOrPass3
34,Spins,SpinsLow
35,Chance,MatchAndWin
36,Stage,SurveySays3
37,Chance,PodiumShuffle
38,Stage,SuddenDeath
39,Showdown,Bullseye
40,Showdown,SurveySteal
41,Stage,KeepOrPass5
42,Coins,CoinsLower
43,Stage,KeepOrPass3
44,Showdown,Bullseye
45,Showdown,SurveySteal
46,Chance,TripleSurvey
47,Coins,CoinsMedium
48,Stage,SurveySays3
49,Coins,CoinsSuper
50,Stage,SuddenDeath
51,Spins,SpinsHigh
52,Chance,CoinFrenzy
53,Stage,KeepOrPass3
54,Chance,FamilyFortunes
55,Stage,SurveySays3
56,Coins,CoinsLower
57,Showdown,Bullseye
58,Chance,SurveyHeadStart
59,Showdown,SurveySteal
60,Stage,KeepOrPass3
61,Coins,CoinsHigh
62,Spins,SpinsLow
63,Stage,SurveySays5
64,Chance,MatchAndWin
65,Stage,SurveySays3
66,Chance,PodiumShuffle
67,Spins,SpinsHigh
68,Stage,SuddenDeath
69,Coins,CoinsLower
70,Stage,KeepOrPass3
71,Showdown,Bullseye
72,Showdown,SurveySteal